1610612738,BOSTON CELTICS
1610612751,BROOKLYN NETS
1610612752,NEW YORK KNICKS
1610612755,PHILADELPHIA SIXERS
1610612761,TORONTO RAPTORS
1610612741,CHICAGO BULLS
1610612739,CLEVELAND CAVALIERS
1610612765,DETROIT PISTONS
1610612754,INDIANA PACERS
1610612749,MILWAUKEE BUCKS
1610612737,ATLANTA HAWKS
1610612766,CHARLOTTE HORNETS
1610612748,MIAMI HEAT
1610612753,ORLANDO MAGIC
1610612764,WASHINGTON WIZARDS
1610612743,DENVER NUGGETS
1610612750,MINNESOTA TIMBERWOLVES
1610612760,OKLAHOMA CITY THUNDER
1610612757,PORTLAND TRAIL BLAZERS
1610612762,UTAH JAZZ
1610612744,GOLDEN STATE WARRIORS
1610612746,LOS ANGELES CLIPPERS
1610612747,LOS ANGELES LAKERS
1610612756,PHOENIX SUNS
1610612758,SACRAMENTO KINGS
1610612742,DALLAS MAVERICKS
1610612745,HOUSTON ROCKETS
1610612763,MEMPHIS GRIZZLIES
1610612740,NEW ORLEANS PELICANS
1610612759,SAN ANTONIO SPURS